,Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK
566,Adama Traoré,Forward,Wolverhampton Wanderers,25,20,10,1,11,1,0,1,1,0,0,0,0,0,0,0,0,0
567,Boubacar Traoré,Midfielder,Wolverhampton Wanderers,19,27,17,1,19,1,1,2,1,0,0,9,1,0,0,0,0,0
568,Chem Campbell,Midfielder,Wolverhampton Wanderers,18,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,Chiquinho,Defender,Wolverhampton Wanderers,21,8,1,208,2,0,3,3,0,0,0,0,0,0,1,1,0,1
570,Conor Coady,Defender,Wolverhampton Wanderers,28,38,38,3,37,4,0,4,4,0,0,4,0,0,0,0,0,0
571,Daniel Podence,Forward,Wolverhampton Wanderers,25,26,15,1,16,2,3,5,2,0,0,2,0,0,0,0,0,0
572,Fábio Silva,Forward,Wolverhampton Wanderers,19,22,6,572,6,0,0,0,0,0,0,0,0,0,0,0,0,0
573,Fernando Marçal,Midfielder,Wolverhampton Wanderers,32,18,17,1,16,0,0,0,0,0,0,3,0,0,0,0,0,0
574,Francisco Trincão,Forward,Wolverhampton Wanderers,21,28,16,1,14,2,1,3,2,0,0,0,0,0,0,0,0,0
575,Gonçalo Guedes,Forward,Wolverhampton Wanderers,24,36,30,2,29,11,6,17,10,1,2,3,0,0,0,0,0,0
576,Hwang Hee-chan,Forward,Wolverhampton Wanderers,25,30,20,1,20,5,1,6,5,0,0,2,0,0,0,0,0,0
577,João Moutinho,Midfielder,Wolverhampton Wanderers,34,35,34,2,33,2,1,3,2,0,0,4,0,0,0,0,0,0
578,John Ruddy,Goalkeeper,Wolverhampton Wanderers,34,2,1,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0
579,Jonny Castro,Defender,Wolverhampton Wanderers,27,13,10,1,11,2,0,2,2,0,0,1,0,0,0,0,0,0
580,José Sá,Goalkeeper,Wolverhampton Wanderers,28,37,37,3,36,0,1,1,0,0,0,3,0,0,0,0,0,0
581,Ki-Jana Hoever,Defender,Wolverhampton Wanderers,19,8,4,308,3,0,0,0,0,0,0,1,0,0,0,0,0,0
582,Leander Dendoncker,Midfielder,Wolverhampton Wanderers,26,30,21,1,21,2,2,4,2,0,0,4,0,0,0,0,0,0
583,Luke Cundle,Midfielder,Wolverhampton Wanderers,19,4,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
584,Matheus Nunes,Midfielder,Wolverhampton Wanderers,22,33,31,2,28,3,1,4,3,0,0,4,0,0,0,0,0,0
585,Max Kilman,Defender,Wolverhampton Wanderers,24,30,30,2,29,1,0,1,1,0,0,3,0,0,0,0,0,0
586,Morgan Gibbs-White,Defender,Wolverhampton Wanderers,21,2,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0
587,Nélson Semedo,Midfielder,Wolverhampton Wanderers,27,25,25,2,23,0,1,1,0,0,0,1,0,0,0,0,0,0
588,Pedro Neto,Forward,Wolverhampton Wanderers,21,13,5,466,5,1,1,2,1,0,0,3,0,0,0,0,0,0
589,Raúl Jiménez,Forward,Wolverhampton Wanderers,30,34,30,2,29,6,4,10,5,1,1,9,2,0,0,0,0,0
590,Rayan Aït Nouri,Defender,Wolverhampton Wanderers,20,23,20,1,20,1,2,3,1,0,0,4,0,0,0,0,0,0
591,Romain Saïss,Defender,Wolverhampton Wanderers,31,31,31,2,30,2,0,2,2,0,0,6,0,0,0,0,0,0
592,Rúben Neves,Midfielder,Wolverhampton Wanderers,24,33,31,2,29,4,2,6,4,0,0,9,0,0,0,0,0,0
593,Sasa Kalajdzic,Forward,Wolverhampton Wanderers,24,15,13,1,13,6,1,7,5,1,2,2,0,0,0,0,0,0
594,Toti Gomes,Defender,Wolverhampton Wanderers,22,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0
595,Willy Boly,Defender,Wolverhampton Wanderers,30,10,10,900,10,0,0,0,0,0,0,1,0,0,0,0,0,0
