,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
752,Cheikhou Kouyaté,Midfielder,32,4,England,Premier League,Crystal Palace,England,Premier League,Nottingham Forest,0,False
754,Willian,Forward,34,4,Brazil,Série A,Sport Club Corinthians Paulista,England,Premier League,Fulham FC,0,False
795,Robin Olsen,Goalkeeper,32,2,Italy,Serie A,AS Roma,England,Premier League,Aston Villa,3,False
846,Joe Rothwell,Midfielder,27,3,England,Championship,Blackburn Rovers,England,Premier League,AFC Bournemouth,0,False
978,Neto,Goalkeeper,33,3,Spain,LaLiga,FC Barcelona,England,Premier League,AFC Bournemouth,0,False
1061,Harry Toffolo,Defender,26,2,England,Championship,Huddersfield Town,England,Premier League,Nottingham Forest,2,False
1140,Ben Mee,Defender,32,2,England,Championship,Burnley FC,England,Premier League,Brentford FC,0,False
1185,Josh Bowler,Forward,23,2,England,Championship,Blackpool FC,England,Premier League,Nottingham Forest,2,False
1241,Boubacar Traoré,Midfielder,21,1,France,Ligue 2,FC Metz,England,Premier League,Wolverhampton Wanderers,2,True
1315,Fraser Forster,Goalkeeper,34,2,England,Premier League,Southampton FC,England,Premier League,Tottenham Hotspur,0,False
1654,Joel Robles,Goalkeeper,32,1,Spain,LaLiga,Real Betis Balompié,England,Premier League,Leeds United,0,False
1693,Ryan Fredericks,Defender,29,1,England,Premier League,West Ham United,England,Premier League,AFC Bournemouth,0,False
